%time,field.header.seq,field.header.stamp,field.header.frame_id,field.distanceA,field.distanceB,field.distanceC,field.distanceD,field.distanceE,field.distanceF,field.distanceG,field.distanceH
1710773621402418288,26126,1710773621401484898,,0.582000017166,0.705999970436,0.598999977112,0.212999999523,0.140000000596,0.713999986649,0.0320000015199,0.0
1710773621451890020,26127,1710773621451467414,,0.580999970436,0.703999996185,0.527000010014,0.25,0.140000000596,0.707000017166,0.0320000015199,0.0
1710773621501881859,26128,1710773621501482013,,0.532000005245,0.686999976635,0.524999976158,0.252000004053,0.141000002623,0.731000006199,0.0320000015199,0.0
1710773621551907917,26129,1710773621551491092,,0.56099998951,0.700999975204,0.527999997139,0.216000005603,0.141000002623,0.736999988556,0.0320000015199,0.0
1710773621601895120,26130,1710773621601441837,,0.512000024319,0.705999970436,0.526000022888,0.181999996305,0.141000002623,0.760999977589,0.0320000015199,0.0
1710773621652079929,26131,1710773621651567062,,0.510999977589,0.726999998093,0.524999976158,0.182999998331,0.141000002623,0.745000004768,0.0320000015199,0.0
1710773621701964319,26132,1710773621701448952,,0.46099999547,0.712999999523,0.523999989033,0.182999998331,0.144999995828,0.745000004768,0.0320000015199,0.0
1710773621751865741,26133,1710773621751498135,,0.510999977589,0.709999978542,0.526000022888,0.181999996305,0.141000002623,0.730000019073,0.0320000015199,0.0
1710773621802126175,26134,1710773621801564714,,0.460000008345,0.670000016689,0.453999996185,0.215000003576,0.141000002623,0.717999994755,0.0320000015199,0.0
1710773621851997649,26135,1710773621851498428,,0.509000003338,0.688000023365,0.381000012159,0.211999997497,0.140000000596,0.716000020504,0.0320000015199,0.0
1710773621901934227,26136,1710773621901447558,,0.504000008106,0.689999997616,0.451999992132,0.211999997497,0.141000002623,0.716000020504,0.0320000015199,0.0
1710773621952137942,26137,1710773621951562575,,0.504000008106,0.712000012398,0.523999989033,0.211999997497,0.140000000596,0.721000015736,0.0320000015199,0.0
1710773622001979832,26138,1710773622001455455,,0.449999988079,0.694000005722,0.527999997139,0.250999987125,0.141000002623,0.740999996662,0.0320000015199,0.0
1710773622052256466,26139,1710773622051567088,,0.501999974251,0.691999971867,0.456000000238,0.252999991179,0.137999996543,0.744000017643,0.0320000015199,0.0
1710773622101852472,26140,1710773622101443147,,0.500999987125,0.671000003815,0.532000005245,0.254000008106,0.138999998569,0.739000022411,0.0320000015199,0.0
1710773622152009626,26141,1710773622151516915,,0.555999994278,0.671000003815,0.603999972343,0.215000003576,0.138999998569,0.727999985218,0.0320000015199,0.0
1710773622201885112,26142,1710773622201450839,,0.507000029087,0.690999984741,0.602999985218,0.250999987125,0.138999998569,0.709999978542,0.0320000015199,0.0
1710773622251953829,26143,1710773622251469712,,0.458000004292,0.690999984741,0.527000010014,0.287000000477,0.138999998569,0.709999978542,0.0320000015199,0.0
1710773622302054524,26144,1710773622301499522,,0.46099999547,0.693000018597,0.528999984264,0.286000013351,0.136000007391,0.712000012398,0.0320000015199,0.0
1710773622351989125,26145,1710773622351503290,,0.509999990463,0.693000018597,0.601000010967,0.25,0.136999994516,0.714999973774,0.0320000015199,0.0
1710773622401968727,26146,1710773622401494246,,0.509000003338,0.675000011921,0.674000024796,0.298999994993,0.136999994516,0.721000015736,0.0320000015199,0.0
1710773622451886192,26147,1710773622451468534,,0.509000003338,0.672999978065,0.601999998093,0.301999986172,0.135000005364,0.723999977112,0.0320000015199,0.0
1710773622502006680,26148,1710773622501492980,,0.411000013351,0.672999978065,0.601999998093,0.338999986649,0.138999998569,0.722999989986,0.0320000015199,0.0
1710773622551919562,26149,1710773622551462529,,0.412000000477,0.672999978065,0.53100001812,0.252000004053,0.137999996543,0.725000023842,0.0320000015199,0.0
1710773622601912080,26150,1710773622601454578,,0.412000000477,0.672999978065,0.605000019073,0.416000008583,0.138999998569,0.711000025272,0.0320000015199,0.0
1710773622651939234,26151,1710773622651475846,,0.409000009298,0.689999997616,0.532999992371,0.414999991655,0.135000005364,0.709999978542,0.0320000015199,0.0
1710773622701936388,26152,1710773622701466021,,0.409000009298,0.712000012398,0.603999972343,0.414999991655,0.140000000596,0.705999970436,0.0320000015199,0.0
